date;message_id;reply_to_msg_id;channel_name;channel_id;sender;sender_id;message;views;comments;reactions;channel_members_count;channel_url;reactions_total;forwarded;forwards;topic_title
2025-12-26 18:59:58+00:00;920;;K K I V B A G;2825468316;;-1;#отзывыkkivbag 🥹🥹🥹 Отзыв от моей подружки, мили мили🤩🤩;79;;{':red_heart:\\u200d:fire:': 4, ':hundred_points:': 4, 'ReactionCustomEmoji(document_id=5345880857720680705)': 4};1198;https://t.me/kkivbag;12;0;0;
2025-12-26 18:58:59+00:00;919;;K K I V B A G;2825468316;;-1;MediaMessage;80;;{':red_heart:\\u200d:fire:': 6, 'ReactionCustomEmoji(document_id=5345880857720680705)': 6, ':hundred_points:': 5};1198;https://t.me/kkivbag;17;1;0;
2025-12-26 12:19:16+00:00;918;;K K I V B A G;2825468316;;-1;MediaMessage;126;;;1198;https://t.me/kkivbag;0;0;0;
2025-12-26 12:19:16+00:00;917;;K K I V B A G;2825468316;;-1;MediaMessage;126;;;1198;https://t.me/kkivbag;0;0;0;
2025-12-26 12:19:16+00:00;916;;K K I V B A G;2825468316;;-1;MediaMessage;126;;;1198;https://t.me/kkivbag;0;0;0;
2025-12-26 12:19:16+00:00;915;;K K I V B A G;2825468316;;-1;MediaMessage;126;;;1198;https://t.me/kkivbag;0;0;0;
2025-12-26 12:19:16+00:00;914;;K K I V B A G;2825468316;;-1;MediaMessage;126;;;1198;https://t.me/kkivbag;0;0;0;
2025-12-26 12:19:16+00:00;913;;K K I V B A G;2825468316;;-1;**Guess Crossbody «Emera»**  Сумка на магнитных замках, на коротком ремешке, два отделения с дополнительным кармашком на молнии и отделениями под карты, сзади присутствует дополнительный кармашек на молнии, в комплекте съемный регулируемый ремешок  **Размер: 26×17×7 см  Цена:8.190₽  **📎Заказ /Бронь /Консультация -@dubovikyana;127;;{':red_heart:\\u200d:fire:': 7, ':hundred_points:': 4, 'ReactionCustomEmoji(document_id=5345880857720680705)': 4};1198;https://t.me/kkivbag;15;0;0;
2025-12-24 08:10:02+00:00;912;;K K I V B A G;2825468316;;-1;MediaMessage;157;;;1198;https://t.me/kkivbag;0;0;1;
2025-12-24 08:10:02+00:00;911;;K K I V B A G;2825468316;;-1;MediaMessage;157;;;1198;https://t.me/kkivbag;0;0;1;
2025-12-24 08:10:02+00:00;910;;K K I V B A G;2825468316;;-1;MediaMessage;158;;;1198;https://t.me/kkivbag;0;0;1;
2025-12-24 08:10:02+00:00;909;;K K I V B A G;2825468316;;-1;MediaMessage;157;;;1198;https://t.me/kkivbag;0;0;1;
2025-12-24 08:10:02+00:00;908;;K K I V B A G;2825468316;;-1;**Guess «Noelle 4 Logo» ﻿** Сумка на молнии, на плечевом регулируемом ремешке, единое отделение с дополнительным кармашком на молнии и отделениями под карты  **Размер: 27×16×7 см  Цена:8.190₽  **📎Заказ /Бронь /Консультация -@dubovikyana;161;;{':red_heart:\\u200d:fire:': 9, ':hundred_points:': 5, 'ReactionCustomEmoji(document_id=5345880857720680705)': 4};1198;https://t.me/kkivbag;18;0;1;
2025-12-23 08:08:11+00:00;907;;K K I V B A G;2825468316;;-1;Друзья, напоминаю что до Нового года осталось **8** дней!!!Это хорошая возможность сделать последние заказы, чтобы получить их к празднику и принять участие в [розыгрыше](https://t.me/kkivbag/866) 🎅🎅;183;;{':red_heart:\\u200d:fire:': 6, ':hundred_points:': 3, 'ReactionCustomEmoji(document_id=5345880857720680705)': 3};1198;https://t.me/kkivbag;12;0;1;
2025-12-23 07:55:00+00:00;906;;K K I V B A G;2825468316;;-1;MediaMessage;187;;;1198;https://t.me/kkivbag;0;0;0;
2025-12-23 07:55:00+00:00;905;;K K I V B A G;2825468316;;-1;MediaMessage;189;;;1198;https://t.me/kkivbag;0;0;0;
2025-12-23 07:55:00+00:00;904;;K K I V B A G;2825468316;;-1;MediaMessage;187;;;1198;https://t.me/kkivbag;0;0;0;
2025-12-23 07:55:00+00:00;903;;K K I V B A G;2825468316;;-1;MediaMessage;187;;;1198;https://t.me/kkivbag;0;0;0;
2025-12-23 07:55:00+00:00;902;;K K I V B A G;2825468316;;-1;**Ремень женский Coach ** Повтор🤩 Длина ремня: до 115 см ﻿Ширина ремня: 1.8 см ﻿Брендовая коробка в комплекте Ремень регулируется по длине, в комплекте дырокол для кожи  **Цена: 6.490₽**  📎Заказ /Бронь /Консультация -@dubovikyana;191;;{':red_heart:\\u200d:fire:': 8, ':hundred_points:': 4, 'ReactionCustomEmoji(document_id=5345880857720680705)': 4};1198;https://t.me/kkivbag;16;0;0;
2025-12-21 12:20:12+00:00;901;;K K I V B A G;2825468316;;-1;MediaMessage;240;;;1198;https://t.me/kkivbag;0;0;0;
2025-12-21 12:20:12+00:00;900;;K K I V B A G;2825468316;;-1;MediaMessage;238;;;1198;https://t.me/kkivbag;0;0;0;
2025-12-21 12:20:12+00:00;899;;K K I V B A G;2825468316;;-1;MediaMessage;236;;;1198;https://t.me/kkivbag;0;0;0;
2025-12-21 12:20:12+00:00;898;;K K I V B A G;2825468316;;-1;MediaMessage;239;;;1198;https://t.me/kkivbag;0;0;0;
2025-12-21 12:20:12+00:00;897;;K K I V B A G;2825468316;;-1;**Versace Couture **  Сумка на поворотном замке на широкой цепочке, единое отделение с дополнительным кармашком В комплекте - съёмная тонкая цепочка   **Размер: 27×13×6 см  Цена:13.790₽  **📎Заказ /Бронь /Консультация -@dubovikyana;237;;{':red_heart:\\u200d:fire:': 9, ':hundred_points:': 5, 'ReactionCustomEmoji(document_id=5345880857720680705)': 4};1198;https://t.me/kkivbag;18;0;0;
2025-12-12 13:12:53+00:00;891;;K K I V B A G;2825468316;;-1;MediaMessage;385;;;1198;https://t.me/kkivbag;0;0;1;
2025-12-12 13:12:53+00:00;890;;K K I V B A G;2825468316;;-1;MediaMessage;387;;;1198;https://t.me/kkivbag;0;0;1;
2025-12-12 13:12:53+00:00;889;;K K I V B A G;2825468316;;-1;MediaMessage;386;;;1198;https://t.me/kkivbag;0;0;1;
2025-12-12 13:12:53+00:00;888;;K K I V B A G;2825468316;;-1;MediaMessage;383;;;1198;https://t.me/kkivbag;0;0;1;
2025-12-12 13:12:53+00:00;887;;K K I V B A G;2825468316;;-1;**Coach «City»**  Сумка на молнии, длинные плечевые ручки, единое отделение с дополнительными кармашками внутри  **Размер: 29×25×13 см   Цена:17.000₽  **📎Заказ /Бронь /Консультация -@dubovikyana;388;;{':red_heart:\\u200d:fire:': 8, 'ReactionCustomEmoji(document_id=5345880857720680705)': 5, ':hundred_points:': 3};1198;https://t.me/kkivbag;16;0;1;
2025-12-09 15:30:15+00:00;881;;K K I V B A G;2825468316;;-1;**Guess «Berkton mini» ** Сумка на молнии, на плечевом ремешке, единое отделение с дополнительным кармашком на молнии и отделениями под карты, в комплекте съемный регулируемый ремешок **Размер: 26×19×7 см**  **Цена:8.190₽  **📎Заказ /Бронь /Консультация -@dubovikyana;361;;;1198;https://t.me/kkivbag;0;0;2;
2025-12-09 15:30:14+00:00;880;;K K I V B A G;2825468316;;-1;MediaMessage;370;;;1198;https://t.me/kkivbag;0;0;3;
2025-12-09 15:30:14+00:00;879;;K K I V B A G;2825468316;;-1;MediaMessage;363;;;1198;https://t.me/kkivbag;0;0;2;
2025-12-09 15:30:14+00:00;878;;K K I V B A G;2825468316;;-1;MediaMessage;360;;;1198;https://t.me/kkivbag;0;0;2;
2025-12-09 15:30:14+00:00;877;;K K I V B A G;2825468316;;-1;MediaMessage;367;;{':red_heart:\\u200d:fire:': 11, ':hundred_points:': 7, 'ReactionCustomEmoji(document_id=5345880857720680705)': 6};1198;https://t.me/kkivbag;24;0;2;
